customer_id,customer_name,country,total_revenue,orders_count,returns_count,aov,return_rate
C000548,Customer_548,Unknown,6330,1,1,6330,1
C004743,Customer_4743,Germany,6325,1,1,6325,1
C004738,Customer_4738,France,6304,2,0,3152,0
C011124,Customer_11124,Germany,6295,3,3,2098.33,1
C009561,Customer_9561,Unknown,6280,1,0,6280,0
C000107,Customer_107,Poland,6269,2,1,3134.5,0.5
C011169,Customer_11169,United Kingdom,6260,1,1,6260,1
C001487,Customer_1487,France,6250,1,1,6250,1
C004713,Customer_4713,France,6235,1,0,6235,0
C010089,Customer_10089,France,6220,1,0,6220,0
C005012,Customer_5012,Unknown,6210,1,0,6210,0
C005900,Customer_5900,Unknown,6210,2,0,3105,0
C000127,Customer_127,Germany,6175,1,1,6175,1
C003549,Customer_3549,United Kingdom,6174,2,1,3087,0.5
C004018,Customer_4018,France,6170,2,0,3085,0
C000647,Customer_647,United Kingdom,6160,1,0,6160,0
C009112,Customer_9112,Germany,6150,1,0,6150,0
C008297,Customer_8297,United Kingdom,6133,2,1,3066.5,0.5
C011386,Customer_11386,Germany,6130,1,1,6130,1
C006672,Customer_6672,Poland,6130,1,0,6130,0
C002674,Customer_2674,Unknown,6115,1,1,6115,1
C002552,Customer_2552,Germany,6113,2,2,3056.5,1
C003045,Customer_3045,United Kingdom,6107,2,2,3053.5,1
C004950,Customer_4950,Germany,6080,1,0,6080,0
C009934,Customer_9934,France,6060,1,1,6060,1
C005007,Customer_5007,Germany,6056,2,2,3028,1
C004194,Customer_4194,Poland,6020,1,0,6020,0
C007357,Customer_7357,Unknown,6015,1,0,6015,0
C000382,Customer_382,Germany,6005,1,0,6005,0
C001979,Customer_1979,United Kingdom,5996,1,1,5996,1
C007883,Customer_7883,United Kingdom,5988,2,0,2994,0
C007105,Customer_7105,Poland,5984,2,0,2992,0
C007743,Customer_7743,Unknown,5984,1,1,5984,1
C004009,Customer_4009,Unknown,5976,2,0,2988,0
C011324,Customer_11324,United Kingdom,5973,2,1,2986.5,0.5
C010600,Customer_10600,Poland,5972,1,0,5972,0
C008000,Customer_8000,United Kingdom,5968,1,0,5968,0
C005624,Customer_5624,Germany,5964,1,1,5964,1
C008021,Customer_8021,Poland,5955,1,1,5955,1
C000527,Customer_527,Germany,5937,2,1,2968.5,0.5
C002266,Customer_2266,United Kingdom,5936,1,1,5936,1
C011491,Customer_11491,Unknown,5932,1,0,5932,0
C006944,Customer_6944,Unknown,5932,2,2,2966,1
C000754,Customer_754,France,5932,1,0,5932,0
C000087,Customer_87,Poland,5920,1,0,5920,0
C008022,Customer_8022,Unknown,5915,2,0,2957.5,0
C011149,Customer_11149,United Kingdom,5910,1,0,5910,0
C006094,Customer_6094,Poland,5900,1,0,5900,0
C002624,Customer_2624,United Kingdom,5900,1,0,5900,0
C004140,Customer_4140,Unknown,5896,1,1,5896,1
C004382,Customer_4382,Poland,5896,1,1,5896,1
C005327,Customer_5327,Germany,5895,1,1,5895,1
C002514,Customer_2514,Poland,5888,2,2,2944,1
C004370,Customer_4370,Poland,5888,1,1,5888,1
C000414,Customer_414,Poland,5886,2,0,2943,0
C004097,Customer_4097,Unknown,5884,1,0,5884,0
C000289,Customer_289,Germany,5875,1,0,5875,0
C004527,Customer_4527,Germany,5875,1,0,5875,0
C002420,Customer_2420,Germany,5870,1,1,5870,1
C008087,Customer_8087,United Kingdom,5865,1,1,5865,1
C011932,Customer_11932,France,5860,1,1,5860,1
C011590,Customer_11590,Germany,5856,2,0,2928,0
C004025,Customer_4025,France,5848,1,1,5848,1
C006727,Customer_6727,France,5835,1,0,5835,0
C002976,Customer_2976,United Kingdom,5832,1,1,5832,1
C009862,Customer_9862,Poland,5824,1,0,5824,0
C001637,Customer_1637,Poland,5820,1,1,5820,1
C010288,Customer_10288,Unknown,5810,1,0,5810,0
C010069,Customer_10069,Unknown,5810,1,1,5810,1
C000258,Customer_258,France,5805,2,1,2902.5,0.5
C000944,Customer_944,United Kingdom,5800,1,1,5800,1
C005086,Customer_5086,United Kingdom,5795,1,0,5795,0
C003499,Customer_3499,Unknown,5788,1,1,5788,1
C004004,Customer_4004,Germany,5776,1,0,5776,0
C006559,Customer_6559,Poland,5775,1,0,5775,0
C005254,Customer_5254,France,5775,1,0,5775,0
C006946,Customer_6946,Unknown,5770,2,1,2885,0.5
C003487,Customer_3487,Unknown,5766,2,1,2883,0.5
C003764,Customer_3764,United Kingdom,5760,2,1,2880,0.5
C002001,Customer_2001,Poland,5760,1,0,5760,0
C000224,Customer_224,Poland,5752,1,1,5752,1
C009419,Customer_9419,United Kingdom,5750,1,1,5750,1
C002973,Customer_2973,Poland,5748,1,1,5748,1
C006042,Customer_6042,United Kingdom,5744,1,1,5744,1
C001658,Customer_1658,United Kingdom,5744,2,1,2872,0.5
C010282,Customer_10282,Unknown,5744,1,0,5744,0
C005268,Customer_5268,France,5725,1,0,5725,0
C000997,Customer_997,France,5725,1,0,5725,0
C006261,Customer_6261,Germany,5724,1,0,5724,0
C011123,Customer_11123,France,5720,1,1,5720,1
C007565,Customer_7565,Unknown,5719,2,2,2859.5,1
C010134,Customer_10134,United Kingdom,5718,2,0,2859,0
C011140,Customer_11140,Poland,5715,1,0,5715,0
C007091,Customer_7091,Unknown,5715,1,0,5715,0
C005944,Customer_5944,Unknown,5712,1,1,5712,1
C002336,Customer_2336,France,5711,2,1,2855.5,0.5
C002518,Customer_2518,France,5704,1,0,5704,0
C004567,Customer_4567,France,5703,2,2,2851.5,1
C008509,Customer_8509,Germany,5695,1,0,5695,0
C002791,Customer_2791,United Kingdom,5688,1,1,5688,1
C004300,Customer_4300,Germany,5680,1,0,5680,0
C000100,Customer_100,France,5676,1,0,5676,0
C001849,Customer_1849,France,5672,1,0,5672,0
C007469,Customer_7469,Germany,5672,1,0,5672,0
C000738,Customer_738,France,5670,2,1,2835,0.5
C011782,Customer_11782,United Kingdom,5670,1,1,5670,1
C005545,Customer_5545,France,5668,1,0,5668,0
C000981,Customer_981,Unknown,5665,1,1,5665,1
C005188,Customer_5188,France,5648,1,0,5648,0
C011965,Customer_11965,Germany,5645,1,1,5645,1
C000025,Customer_25,France,5640,1,1,5640,1
C009053,Customer_9053,France,5635,1,0,5635,0
C004982,Customer_4982,France,5624,1,0,5624,0
C001669,Customer_1669,France,5620,1,1,5620,1
C000169,Customer_169,France,5620,1,0,5620,0
C011117,Customer_11117,Unknown,5616,1,0,5616,0
C007405,Customer_7405,Unknown,5605,1,0,5605,0
C002269,Customer_2269,France,5605,1,0,5605,0
C010919,Customer_10919,Unknown,5604,1,0,5604,0
C006043,Customer_6043,United Kingdom,5604,1,0,5604,0
C002788,Customer_2788,Germany,5604,1,1,5604,1
C001100,Customer_1100,Poland,5588,1,0,5588,0
C002886,Customer_2886,United Kingdom,5585,1,0,5585,0
C003518,Customer_3518,Germany,5584,1,0,5584,0
C004419,Customer_4419,Unknown,5580,1,0,5580,0
C006770,Customer_6770,Germany,5576,1,0,5576,0
C006902,Customer_6902,France,5576,1,0,5576,0
C006255,Customer_6255,Germany,5572,1,0,5572,0
C001842,Customer_1842,Germany,5570,1,1,5570,1
C008970,Customer_8970,United Kingdom,5570,1,1,5570,1
C008797,Customer_8797,France,5561,2,1,2780.5,0.5
C007324,Customer_7324,Poland,5550,1,1,5550,1
C000516,Customer_516,Germany,5548,1,0,5548,0
C005450,Customer_5450,France,5545,1,0,5545,0
C005024,Customer_5024,Germany,5544,1,1,5544,1
C011087,Customer_11087,Unknown,5543,2,0,2771.5,0
C003950,Customer_3950,France,5543,2,0,2771.5,0
C006671,Customer_6671,Unknown,5540,1,0,5540,0
C010554,Customer_10554,United Kingdom,5540,1,0,5540,0
C000094,Customer_94,Unknown,5540,1,1,5540,1
C007573,Customer_7573,France,5532,1,0,5532,0
C007316,Customer_7316,Poland,5516,1,1,5516,1
C004185,Customer_4185,Germany,5512,1,1,5512,1
C006344,Customer_6344,United Kingdom,5512,1,1,5512,1
C008938,Customer_8938,Unknown,5505,1,1,5505,1
C006003,Customer_6003,Germany,5504,1,0,5504,0
C003517,Customer_3517,France,5501,2,1,2750.5,0.5
C004709,Customer_4709,Poland,5496,1,0,5496,0
C007890,Customer_7890,Germany,5490,1,1,5490,1
C011213,Customer_11213,United Kingdom,5488,1,0,5488,0
C006102,Customer_6102,France,5485,1,1,5485,1
C001920,Customer_1920,Unknown,5481,2,1,2740.5,0.5
C002225,Customer_2225,Germany,5480,1,1,5480,1
C010293,Customer_10293,Poland,5475,1,0,5475,0
C001813,Customer_1813,France,5468,1,0,5468,0
C000794,Customer_794,Poland,5456,1,0,5456,0
C001531,Customer_1531,United Kingdom,5444,1,0,5444,0
C006404,Customer_6404,Unknown,5440,1,0,5440,0
C001365,Customer_1365,Poland,5433,2,0,2716.5,0
C007284,Customer_7284,Germany,5428,1,0,5428,0
C009702,Customer_9702,France,5410,1,0,5410,0
C006225,Customer_6225,Germany,5404,1,1,5404,1
C005534,Customer_5534,Germany,5400,1,0,5400,0
C009005,Customer_9005,Unknown,5396,1,1,5396,1
C005460,Customer_5460,Poland,5392,1,0,5392,0
C004165,Customer_4165,Unknown,5390,1,0,5390,0
C008878,Customer_8878,Germany,5384,1,0,5384,0
C007605,Customer_7605,Poland,5364,1,0,5364,0
C001491,Customer_1491,Unknown,5360,1,1,5360,1
C000741,Customer_741,Germany,5356,1,0,5356,0
C007769,Customer_7769,Poland,5353,2,1,2676.5,0.5
C009619,Customer_9619,Poland,5340,1,1,5340,1
C010881,Customer_10881,France,5340,1,1,5340,1
C003337,Customer_3337,Germany,5336,1,0,5336,0
C002776,Customer_2776,United Kingdom,5332,1,0,5332,0
C010164,Customer_10164,Unknown,5330,1,1,5330,1
C009809,Customer_9809,Poland,5328,1,1,5328,1
C005240,Customer_5240,France,5301,2,0,2650.5,0
C010234,Customer_10234,France,5300,1,1,5300,1
C008380,Customer_8380,Poland,5296,1,1,5296,1
C005263,Customer_5263,Unknown,5295,1,1,5295,1
C010462,Customer_10462,Germany,5290,2,0,2645,0
C004697,Customer_4697,United Kingdom,5280,1,0,5280,0
C009045,Customer_9045,United Kingdom,5276,1,1,5276,1
C005321,Customer_5321,Poland,5273,2,1,2636.5,0.5
C003442,Customer_3442,United Kingdom,5272,1,0,5272,0
C009887,Customer_9887,United Kingdom,5268,1,0,5268,0
C004143,Customer_4143,Unknown,5268,1,1,5268,1
C008943,Customer_8943,Germany,5268,1,0,5268,0
C005467,Customer_5467,Unknown,5256,1,0,5256,0
C007507,Customer_7507,Poland,5244,1,0,5244,0
C008164,Customer_8164,Germany,5240,1,0,5240,0
C000713,Customer_713,France,5236,1,1,5236,1
C002614,Customer_2614,France,5232,1,0,5232,0
C011751,Customer_11751,Unknown,5217,2,1,2608.5,0.5
C000543,Customer_543,Unknown,5216,1,1,5216,1
C009536,Customer_9536,Unknown,5210,2,0,2605,0
C005125,Customer_5125,Poland,5208,2,1,2604,0.5
C001128,Customer_1128,France,5200,1,1,5200,1
C009531,Customer_9531,Unknown,5170,1,0,5170,0
C001059,Customer_1059,Poland,5168,1,0,5168,0
C006855,Customer_6855,France,5162,2,0,2581,0
C007335,Customer_7335,France,5155,1,1,5155,1
C002287,Customer_2287,Unknown,5148,1,0,5148,0
C003208,Customer_3208,Unknown,5140,1,1,5140,1
C001409,Customer_1409,Unknown,5135,2,0,2567.5,0
C002212,Customer_2212,United Kingdom,5130,1,0,5130,0
C011671,Customer_11671,Germany,5120,1,1,5120,1
C000336,Customer_336,Poland,5116,1,1,5116,1
C008836,Customer_8836,United Kingdom,5115,1,0,5115,0
C005124,Customer_5124,Poland,5107,3,2,1702.33,0.667
C011947,Customer_11947,France,5100,1,1,5100,1
C004208,Customer_4208,United Kingdom,5095,1,1,5095,1
C003361,Customer_3361,Unknown,5092,1,0,5092,0
C004127,Customer_4127,Poland,5091,2,0,2545.5,0
C006601,Customer_6601,France,5088,2,1,2544,0.5
C000204,Customer_204,France,5084,1,0,5084,0
C004908,Customer_4908,Unknown,5070,1,0,5070,0
C006633,Customer_6633,Poland,5070,1,0,5070,0
C005634,Customer_5634,France,5068,1,0,5068,0
C008205,Customer_8205,United Kingdom,5065,1,0,5065,0
C003229,Customer_3229,Unknown,5060,1,0,5060,0
C003376,Customer_3376,United Kingdom,5060,1,0,5060,0
C005362,Customer_5362,Poland,5055,1,0,5055,0
C007070,Customer_7070,France,5052,1,0,5052,0
C000883,Customer_883,United Kingdom,5052,1,0,5052,0
C009764,Customer_9764,France,5040,1,1,5040,1
C004569,Customer_4569,Unknown,5040,1,0,5040,0
C008821,Customer_8821,France,5032,1,1,5032,1
C006783,Customer_6783,United Kingdom,5030,1,1,5030,1
C006807,Customer_6807,Poland,5020,1,0,5020,0
C002894,Customer_2894,Germany,5012,2,0,2506,0
C007031,Customer_7031,Unknown,5004,1,0,5004,0
C011698,Customer_11698,France,5000,1,1,5000,1
C001080,Customer_1080,France,5000,1,1,5000,1
C011986,Customer_11986,Germany,4996,1,1,4996,1
C007734,Customer_7734,Unknown,4995,1,0,4995,0
C010895,Customer_10895,France,4988,1,0,4988,0
C008070,Customer_8070,France,4975,1,0,4975,0
C007867,Customer_7867,Germany,4968,2,0,2484,0
C000123,Customer_123,Germany,4965,1,1,4965,1
C003064,Customer_3064,Germany,4965,1,0,4965,0
C001774,Customer_1774,Germany,4963,2,1,2481.5,0.5
C003341,Customer_3341,Poland,4958,2,0,2479,0
C005272,Customer_5272,France,4957,2,1,2478.5,0.5
C006244,Customer_6244,United Kingdom,4950,1,1,4950,1
C003904,Customer_3904,Germany,4949,2,0,2474.5,0
C001980,Customer_1980,Germany,4948,1,0,4948,0
C000426,Customer_426,France,4945,1,0,4945,0
C000159,Customer_159,United Kingdom,4944,1,1,4944,1
C006494,Customer_6494,Unknown,4940,1,1,4940,1
C008680,Customer_8680,Germany,4940,1,1,4940,1
C011817,Customer_11817,France,4938,2,2,2469,1
C000721,Customer_721,Poland,4928,1,1,4928,1
C010511,Customer_10511,France,4925,1,1,4925,1
C008090,Customer_8090,France,4920,1,1,4920,1
C007976,Customer_7976,France,4918,2,0,2459,0
C002985,Customer_2985,Unknown,4916,1,1,4916,1
C007443,Customer_7443,United Kingdom,4912,1,0,4912,0
C008658,Customer_8658,Germany,4910,1,1,4910,1
C011101,Customer_11101,Germany,4904,1,1,4904,1
C008913,Customer_8913,France,4895,1,0,4895,0
C009953,Customer_9953,France,4890,1,0,4890,0
C008291,Customer_8291,Poland,4890,1,1,4890,1
C004895,Customer_4895,Germany,4876,1,0,4876,0
C011835,Customer_11835,France,4865,1,0,4865,0
C009691,Customer_9691,United Kingdom,4864,1,1,4864,1
C009716,Customer_9716,Poland,4861,2,0,2430.5,0
C010658,Customer_10658,France,4857,2,0,2428.5,0
C006426,Customer_6426,France,4852,1,1,4852,1
C010050,Customer_10050,Poland,4851,2,1,2425.5,0.5
C002036,Customer_2036,Unknown,4848,1,1,4848,1
C005322,Customer_5322,Poland,4842,2,1,2421,0.5
C009970,Customer_9970,Germany,4840,1,0,4840,0
C004233,Customer_4233,Germany,4830,1,1,4830,1
C004191,Customer_4191,United Kingdom,4825,1,0,4825,0
C003687,Customer_3687,Poland,4816,1,1,4816,1
C011523,Customer_11523,Poland,4815,2,2,2407.5,1
C006532,Customer_6532,Unknown,4812,3,0,1604,0
C008675,Customer_8675,France,4800,1,1,4800,1
C002219,Customer_2219,Poland,4795,1,0,4795,0
C011921,Customer_11921,Unknown,4745,1,0,4745,0
C010256,Customer_10256,Poland,4740,1,1,4740,1
C011738,Customer_11738,Poland,4740,1,0,4740,0
C008354,Customer_8354,United Kingdom,4731,2,0,2365.5,0
C001845,Customer_1845,United Kingdom,4725,1,1,4725,1
C001094,Customer_1094,France,4725,1,0,4725,0
C009959,Customer_9959,Poland,4715,1,1,4715,1
C007921,Customer_7921,Unknown,4710,1,1,4710,1
C002452,Customer_2452,Poland,4696,1,1,4696,1
C000807,Customer_807,France,4691,2,1,2345.5,0.5
C002686,Customer_2686,France,4684,1,0,4684,0
C010017,Customer_10017,Poland,4684,1,1,4684,1
C008441,Customer_8441,France,4682,2,1,2341,0.5
C009601,Customer_9601,Poland,4680,1,0,4680,0
C002344,Customer_2344,United Kingdom,4672,1,0,4672,0
C004373,Customer_4373,United Kingdom,4672,1,1,4672,1
C006998,Customer_6998,Germany,4670,1,0,4670,0
C011098,Customer_11098,Poland,4665,1,0,4665,0
C006701,Customer_6701,Unknown,4665,1,0,4665,0
C006702,Customer_6702,United Kingdom,4652,1,1,4652,1
C005156,Customer_5156,Unknown,4650,1,0,4650,0
C003652,Customer_3652,Germany,4644,1,1,4644,1
C000646,Customer_646,Poland,4632,2,1,2316,0.5
C008305,Customer_8305,Poland,4620,1,1,4620,1
C008999,Customer_8999,Poland,4615,1,0,4615,0
C001806,Customer_1806,United Kingdom,4604,1,0,4604,0
C007086,Customer_7086,United Kingdom,4600,1,1,4600,1
C011576,Customer_11576,United Kingdom,4598,2,1,2299,0.5
C002586,Customer_2586,Poland,4588,1,1,4588,1
C002802,Customer_2802,United Kingdom,4585,1,1,4585,1
C001599,Customer_1599,Poland,4580,1,0,4580,0
C007766,Customer_7766,United Kingdom,4580,1,0,4580,0
C006444,Customer_6444,Germany,4576,1,1,4576,1
C002249,Customer_2249,United Kingdom,4572,2,2,2286,1
C011309,Customer_11309,Poland,4572,1,0,4572,0
C007061,Customer_7061,Germany,4572,1,0,4572,0
C010493,Customer_10493,France,4570,1,1,4570,1
C010905,Customer_10905,Germany,4564,1,0,4564,0
C004421,Customer_4421,France,4552,1,1,4552,1
C003627,Customer_3627,Poland,4552,2,2,2276,1
C011546,Customer_11546,France,4550,1,0,4550,0
C000985,Customer_985,United Kingdom,4550,1,1,4550,1
C002211,Customer_2211,Germany,4545,1,0,4545,0
C006482,Customer_6482,United Kingdom,4540,1,0,4540,0
C004728,Customer_4728,Unknown,4535,2,1,2267.5,0.5
C003283,Customer_3283,Unknown,4532,1,0,4532,0
C005907,Customer_5907,Germany,4531,2,2,2265.5,1
C003800,Customer_3800,France,4528,1,1,4528,1
C006506,Customer_6506,Unknown,4516,1,1,4516,1
C002151,Customer_2151,Unknown,4500,2,0,2250,0
C001183,Customer_1183,France,4500,1,0,4500,0
C003730,Customer_3730,Germany,4500,1,1,4500,1
C003743,Customer_3743,Germany,4496,3,0,1498.67,0
C011204,Customer_11204,Germany,4495,1,0,4495,0
C001799,Customer_1799,United Kingdom,4494,1,1,4494,1
C003952,Customer_3952,Poland,4490,1,0,4490,0
C009261,Customer_9261,Poland,4490,1,0,4490,0
C008227,Customer_8227,France,4485,1,0,4485,0
C005349,Customer_5349,France,4484,1,0,4484,0
C001092,Customer_1092,Poland,4480,1,1,4480,1
C011729,Customer_11729,Unknown,4475,1,0,4475,0
C000029,Customer_29,United Kingdom,4470,1,0,4470,0
C003953,Customer_3953,Unknown,4464,1,1,4464,1
C009221,Customer_9221,Germany,4464,1,0,4464,0
C004800,Customer_4800,United Kingdom,4460,1,1,4460,1
C002610,Customer_2610,Unknown,4458,2,0,2229,0
C008449,Customer_8449,France,4455,1,0,4455,0
C007231,Customer_7231,Poland,4451,2,1,2225.5,0.5
C009501,Customer_9501,United Kingdom,4450,1,1,4450,1
C007222,Customer_7222,Germany,4445,1,1,4445,1
C004066,Customer_4066,United Kingdom,4443,1,1,4443,1
C003460,Customer_3460,France,4443,1,0,4443,0
C006971,Customer_6971,Poland,4440,1,1,4440,1
C000774,Customer_774,Germany,4435,1,0,4435,0
C001234,Customer_1234,Germany,4431,1,1,4431,1
C010376,Customer_10376,France,4428,1,0,4428,0
C000795,Customer_795,United Kingdom,4425,1,0,4425,0
C009847,Customer_9847,France,4413,1,0,4413,0
C003909,Customer_3909,Poland,4413,1,1,4413,1
C007671,Customer_7671,Germany,4410,1,1,4410,1
C000286,Customer_286,France,4410,1,1,4410,1
C005500,Customer_5500,Germany,4398,1,0,4398,0
C006453,Customer_6453,France,4398,1,0,4398,0
C002203,Customer_2203,Unknown,4392,1,0,4392,0
C005570,Customer_5570,Germany,4386,1,1,4386,1
C003821,Customer_3821,Germany,4385,1,1,4385,1
