product_id,product_name,category,total_orders,returned_orders,return_rate
P00203,null,null,1,1,1
P01161,null,null,1,1,1
P01484,null,null,1,1,1
P00967,Product_967,pedicure,1,1,1
P00288,null,null,1,1,1
P00980,null,null,1,1,1
P00912,null,null,1,1,1
P01420,null,null,1,1,1
P01159,null,null,1,1,1
P00660,null,null,1,1,1
P00869,null,null,1,1,1
P00717,Product_717,manicure,1,1,1
P01302,null,null,1,1,1
P01130,null,null,1,1,1
P00180,Product_180,manicure,1,1,1
P01185,null,null,2,2,1
P01326,null,null,1,1,1
P01142,null,null,1,1,1
P00400,Product_400,manicure,1,1,1
P00512,null,null,1,1,1
P00447,Product_447,manicure,1,1,1
P01100,null,null,1,1,1
P00030,null,null,1,1,1
P00136,null,null,1,1,1
P00902,null,null,1,1,1
P00858,null,null,1,1,1
P00530,null,null,1,1,1
P00594,null,null,1,1,1
P01482,null,null,1,1,1
P00839,null,null,3,3,1
P01018,null,null,2,2,1
P00837,null,null,1,1,1
P00642,null,null,1,1,1
P00151,Product_151,manicure,3,3,1
P00700,Product_700,pedicure,1,1,1
P00333,null,null,1,1,1
P00058,null,null,1,1,1
P00107,Product_107,manicure,1,1,1
P00901,null,null,1,1,1
P01019,null,null,2,2,1
P00451,Product_451,pedicure,1,1,1
P00488,null,null,1,1,1
P00556,null,null,1,1,1
P00683,null,null,1,1,1
P00571,null,null,1,1,1
P00035,null,null,1,1,1
P01180,null,null,1,1,1
P00596,null,null,1,1,1
P01140,null,null,1,1,1
P00039,null,null,1,1,1
P01350,null,null,2,2,1
P00221,null,null,2,2,1
P01037,null,null,1,1,1
P00479,Product_479,manicure,1,1,1
P01246,null,null,1,1,1
P00025,null,null,1,1,1
P01244,null,null,2,2,1
P01053,Product_1053,pedicure,1,1,1
P01417,null,null,1,1,1
P01147,null,null,2,2,1
P00424,null,null,1,1,1
P00716,null,null,2,2,1
P01034,null,null,1,1,1
P00849,null,null,1,1,1
P00643,null,null,1,1,1
P01359,Product_1359,manicure,1,1,1
P00774,Product_774,manicure,1,1,1
P01470,null,null,1,1,1
P01000,null,null,1,1,1
P01232,Product_1232,pedicure,1,1,1
P01349,null,null,1,1,1
P00364,null,null,1,1,1
P00587,null,null,2,2,1
P00034,null,null,2,2,1
P01199,Product_1199,manicure,1,1,1
P00489,Product_489,tools,1,1,1
P01435,Product_1435,manicure,3,3,1
P01437,null,null,1,1,1
P00517,null,null,1,1,1
P00391,Product_391,pedicure,2,2,1
P00467,null,null,1,1,1
P01238,null,null,1,1,1
P00528,null,null,1,1,1
P00780,null,null,1,1,1
P00309,null,null,1,1,1
P00631,null,null,1,1,1
P01314,null,null,1,1,1
P00906,null,null,1,1,1
P00422,null,null,1,1,1
P01358,null,null,2,2,1
P00162,null,null,2,2,1
P00172,null,null,2,2,1
P00662,null,null,1,1,1
P00169,null,null,1,1,1
P00707,null,null,1,1,1
P00891,Product_891,tools,1,1,1
P00047,null,null,2,2,1
P01419,Product_1419,manicure,1,1,1
P00318,null,null,1,1,1
P00269,null,null,1,1,1
P00197,null,null,1,1,1
P01405,null,null,1,1,1
P00378,null,null,1,1,1
P00826,Product_826,pedicure,1,1,1
P00045,Product_45,pedicure,1,1,1
P00586,Product_586,tools,1,1,1
P00494,null,null,1,1,1
P00285,null,null,1,1,1
P00928,null,null,1,1,1
P01295,null,null,1,1,1
P01015,null,null,1,1,1
P00832,null,null,1,1,1
P00790,null,null,3,3,1
P00224,null,null,1,1,1
P00395,null,null,1,1,1
P00101,null,null,1,1,1
P00667,null,null,1,1,1
P01449,null,null,2,2,1
P00280,null,null,1,1,1
P00403,null,null,2,2,1
P00341,null,null,1,1,1
P01436,null,null,1,1,1
P00848,null,null,1,1,1
P00723,null,null,1,1,1
P00633,null,null,1,1,1
P00074,null,null,1,1,1
P00326,null,null,1,1,1
P01189,Product_1189,manicure,1,1,1
P00245,null,null,1,1,1
P01123,null,null,1,1,1
P00801,Product_801,manicure,1,1,1
P01084,Product_1084,pedicure,1,1,1
P00433,null,null,1,1,1
P00987,null,null,2,2,1
P00507,null,null,2,2,1
P00636,null,null,1,1,1
P00854,null,null,1,1,1
P00458,null,null,5,4,0.8
P00918,Product_918,manicure,3,2,0.6667
P00098,null,null,3,2,0.6667
P00229,null,null,3,2,0.6667
P00748,Product_748,pedicure,3,2,0.6667
P00165,Product_165,manicure,3,2,0.6667
P00674,null,null,3,2,0.6667
P01477,null,null,3,2,0.6667
P00486,Product_486,pedicure,3,2,0.6667
P01373,null,null,3,2,0.6667
P00994,null,null,3,2,0.6667
P00128,Product_128,manicure,3,2,0.6667
P00471,null,null,3,2,0.6667
P01050,null,null,3,2,0.6667
P00511,Product_511,pedicure,3,2,0.6667
P00803,null,null,3,2,0.6667
P00322,null,null,3,2,0.6667
P00135,null,null,3,2,0.6667
P00838,null,null,3,2,0.6667
P00738,null,null,3,2,0.6667
P00595,null,null,3,2,0.6667
P00911,null,null,3,2,0.6667
P00313,null,null,3,2,0.6667
P00241,null,null,3,2,0.6667
P00146,null,null,3,2,0.6667
P00292,null,null,3,2,0.6667
P01097,null,null,3,2,0.6667
P00431,null,null,3,2,0.6667
P00348,null,null,2,1,0.5
P01164,null,null,2,1,0.5
P01267,null,null,2,1,0.5
P00941,null,null,2,1,0.5
P00368,null,null,2,1,0.5
P00250,Product_250,tools,2,1,0.5
P00747,Product_747,manicure,2,1,0.5
P00121,null,null,2,1,0.5
P00597,null,null,2,1,0.5
P00329,null,null,4,2,0.5
P00990,null,null,4,2,0.5
P00469,null,null,4,2,0.5
P00540,null,null,2,1,0.5
P01044,null,null,4,2,0.5
P00460,null,null,2,1,0.5
P01184,null,null,2,1,0.5
P01030,null,null,2,1,0.5
P01392,Product_1392,tools,2,1,0.5
P01095,null,null,2,1,0.5
P01362,null,null,2,1,0.5
P00982,Product_982,tools,2,1,0.5
P01092,null,null,2,1,0.5
P00844,Product_844,pedicure,2,1,0.5
P00063,null,null,2,1,0.5
P01346,null,null,2,1,0.5
P00089,null,null,2,1,0.5
P00948,Product_948,manicure,2,1,0.5
P00550,null,null,2,1,0.5
P01219,null,null,2,1,0.5
P01105,null,null,2,1,0.5
P00188,Product_188,tools,2,1,0.5
P00508,null,null,2,1,0.5
P00554,null,null,2,1,0.5
P00455,Product_455,manicure,2,1,0.5
P00722,null,null,2,1,0.5
P00205,null,null,2,1,0.5
P00521,Product_521,manicure,2,1,0.5
P00381,null,null,2,1,0.5
P00439,null,null,2,1,0.5
P01472,null,null,4,2,0.5
P00539,null,null,2,1,0.5
P00529,Product_529,pedicure,2,1,0.5
P00942,null,null,2,1,0.5
P01231,null,null,2,1,0.5
P01124,null,null,2,1,0.5
P00728,null,null,2,1,0.5
P00721,null,null,2,1,0.5
P01025,null,null,2,1,0.5
P01068,Product_1068,tools,2,1,0.5
P01287,null,null,2,1,0.5
P01087,null,null,2,1,0.5
P01446,null,null,2,1,0.5
P01486,Product_1486,tools,2,1,0.5
P00563,Product_563,tools,2,1,0.5
P00297,null,null,2,1,0.5
P01236,null,null,2,1,0.5
P01254,Product_1254,pedicure,2,1,0.5
P00173,null,null,2,1,0.5
P00651,null,null,2,1,0.5
P01463,null,null,4,2,0.5
P00302,null,null,2,1,0.5
P01263,null,null,2,1,0.5
P01461,null,null,2,1,0.5
P01120,null,null,2,1,0.5
P00020,null,null,2,1,0.5
P00012,Product_12,tools,2,1,0.5
P00179,null,null,2,1,0.5
P00434,null,null,2,1,0.5
P01064,null,null,2,1,0.5
P01297,null,null,2,1,0.5
P01499,null,null,4,2,0.5
P01385,Product_1385,pedicure,2,1,0.5
P00657,Product_657,manicure,2,1,0.5
P00565,null,null,2,1,0.5
P00349,null,null,2,1,0.5
P00824,null,null,4,2,0.5
P01464,null,null,2,1,0.5
P00585,null,null,2,1,0.5
P00298,Product_298,pedicure,2,1,0.5
P00214,null,null,2,1,0.5
P00644,Product_644,tools,2,1,0.5
P00590,null,null,2,1,0.5
P01418,Product_1418,manicure,2,1,0.5
P00557,null,null,2,1,0.5
P01170,null,null,4,2,0.5
P00532,Product_532,pedicure,2,1,0.5
P00094,null,null,2,1,0.5
P00099,null,null,2,1,0.5
P00406,null,null,4,2,0.5
P01399,null,null,2,1,0.5
P00171,Product_171,pedicure,2,1,0.5
P00052,null,null,2,1,0.5
P00947,null,null,2,1,0.5
P01114,null,null,2,1,0.5
P00426,null,null,2,1,0.5
P00390,Product_390,tools,2,1,0.5
P00977,null,null,2,1,0.5
P01282,Product_1282,manicure,2,1,0.5
P00634,Product_634,tools,2,1,0.5
P00279,null,null,2,1,0.5
P01195,null,null,2,1,0.5
P00110,null,null,2,1,0.5
P00931,Product_931,pedicure,2,1,0.5
P01469,null,null,2,1,0.5
P00514,Product_514,pedicure,2,1,0.5
P00562,null,null,2,1,0.5
P00138,null,null,2,1,0.5
P00046,null,null,2,1,0.5
P00218,Product_218,manicure,2,1,0.5
P00753,Product_753,tools,2,1,0.5
P01320,null,null,2,1,0.5
P00761,null,null,2,1,0.5
P00591,null,null,2,1,0.5
P01079,null,null,2,1,0.5
P00564,Product_564,tools,2,1,0.5
P00011,null,null,2,1,0.5
P00419,null,null,2,1,0.5
P01439,null,null,2,1,0.5
P01289,null,null,2,1,0.5
P00036,null,null,2,1,0.5
P00230,Product_230,manicure,2,1,0.5
P00919,null,null,4,2,0.5
P00504,Product_504,tools,2,1,0.5
P01355,null,null,2,1,0.5
P00520,null,null,2,1,0.5
P00666,null,null,2,1,0.5
P00603,null,null,2,1,0.5
P00829,null,null,4,2,0.5
P01056,null,null,2,1,0.5
P00579,null,null,2,1,0.5
P00910,Product_910,tools,2,1,0.5
P00821,Product_821,tools,2,1,0.5
P00709,null,null,2,1,0.5
P00702,null,null,5,2,0.4
P99999,null,null,1401,558,0.3983
P01003,null,null,3,1,0.3333
P00314,null,null,3,1,0.3333
P00006,null,null,3,1,0.3333
P01067,null,null,3,1,0.3333
P00133,null,null,3,1,0.3333
P01296,null,null,3,1,0.3333
P01334,Product_1334,pedicure,3,1,0.3333
P01333,null,null,3,1,0.3333
P00145,null,null,3,1,0.3333
P00500,Product_500,tools,3,1,0.3333
P00794,Product_794,manicure,3,1,0.3333
P00374,null,null,3,1,0.3333
P00934,null,null,3,1,0.3333
P00808,null,null,3,1,0.3333
P00106,null,null,3,1,0.3333
P00883,null,null,3,1,0.3333
P01157,null,null,3,1,0.3333
P00228,Product_228,tools,3,1,0.3333
P01433,null,null,3,1,0.3333
P00343,null,null,3,1,0.3333
P00766,Product_766,tools,3,1,0.3333
P01101,Product_1101,tools,3,1,0.3333
P00147,null,null,3,1,0.3333
P01221,null,null,3,1,0.3333
P01158,null,null,3,1,0.3333
P00366,null,null,3,1,0.3333
P01223,null,null,3,1,0.3333
P00448,null,null,3,1,0.3333
P01141,null,null,3,1,0.3333
P00622,null,null,3,1,0.3333
P01403,Product_1403,pedicure,3,1,0.3333
P01404,null,null,3,1,0.3333
P01107,null,null,3,1,0.3333
P00498,null,null,3,1,0.3333
P00793,null,null,4,1,0.25
P00624,null,null,5,1,0.2
P00737,null,null,5,1,0.2
P01468,null,null,5,1,0.2
P00105,Product_105,manicure,5,1,0.2
P00675,null,null,5,1,0.2
P01328,null,null,1,0,0
P01490,null,null,2,0,0
P01426,null,null,2,0,0
P01381,null,null,2,0,0
P00327,Product_327,tools,1,0,0
P00178,null,null,1,0,0
P00547,null,null,1,0,0
P00191,null,null,2,0,0
P01108,null,null,1,0,0
P00399,Product_399,tools,1,0,0
P00234,Product_234,manicure,4,0,0
P00908,null,null,1,0,0
P00784,null,null,1,0,0
P00336,null,null,1,0,0
P00836,Product_836,tools,1,0,0
P01154,Product_1154,pedicure,1,0,0
P01312,Product_1312,manicure,3,0,0
P00573,null,null,1,0,0
P00575,null,null,1,0,0
P01452,Product_1452,manicure,1,0,0
P00601,null,null,1,0,0
P00215,null,null,2,0,0
P01135,null,null,1,0,0
P01152,null,null,2,0,0
P01099,Product_1099,manicure,1,0,0
P00992,null,null,3,0,0
P00915,null,null,2,0,0
P01325,null,null,1,0,0
P01491,Product_1491,tools,1,0,0
P01073,null,null,2,0,0
P01309,null,null,2,0,0
P00871,null,null,1,0,0
P00170,null,null,1,0,0
P01278,Product_1278,pedicure,1,0,0
P00695,Product_695,manicure,1,0,0
P00160,null,null,3,0,0
P01376,Product_1376,manicure,2,0,0
P01280,null,null,1,0,0
P00373,null,null,1,0,0
P00225,null,null,2,0,0
P00070,null,null,1,0,0
P01471,null,null,1,0,0
P01183,null,null,1,0,0
P00120,null,null,1,0,0
P00270,null,null,1,0,0
P00542,null,null,1,0,0
P00894,null,null,1,0,0
P00392,null,null,1,0,0
P00823,null,null,1,0,0
P01051,null,null,2,0,0
P00421,null,null,1,0,0
P01272,Product_1272,manicure,1,0,0
P00615,null,null,3,0,0
P00679,null,null,1,0,0
P00129,null,null,1,0,0
P00362,null,null,1,0,0
P00243,Product_243,tools,1,0,0
P00442,null,null,1,0,0
P01270,null,null,2,0,0
P00577,Product_577,manicure,2,0,0
P01453,null,null,1,0,0
P01271,null,null,1,0,0
P01424,null,null,1,0,0
P01145,Product_1145,manicure,1,0,0
P00291,null,null,1,0,0
P00023,Product_23,pedicure,2,0,0
P00882,Product_882,pedicure,2,0,0
P00984,null,null,3,0,0
P01323,null,null,1,0,0
P00236,null,null,1,0,0
P00771,null,null,1,0,0
P00345,null,null,1,0,0
P01379,Product_1379,tools,2,0,0
P01047,null,null,1,0,0
P00342,null,null,1,0,0
P00158,null,null,1,0,0
P00689,null,null,1,0,0
P01023,null,null,1,0,0
P01176,null,null,1,0,0
P01009,null,null,3,0,0
P00370,null,null,2,0,0
P00382,null,null,1,0,0
P00247,null,null,1,0,0
P00778,null,null,1,0,0
P00259,null,null,1,0,0
P00104,Product_104,manicure,1,0,0
P01311,Product_1311,pedicure,1,0,0
P00873,null,null,2,0,0
P00114,Product_114,manicure,1,0,0
P00959,null,null,1,0,0
P00543,null,null,2,0,0
P01127,null,null,1,0,0
P00416,null,null,1,0,0
P00584,null,null,1,0,0
P00607,null,null,2,0,0
P00111,null,null,1,0,0
P00286,null,null,1,0,0
P00223,null,null,1,0,0
P00537,null,null,1,0,0
P00592,Product_592,pedicure,1,0,0
P00372,null,null,1,0,0
P00449,null,null,2,0,0
P00553,Product_553,tools,1,0,0
P00208,null,null,1,0,0
P01347,null,null,2,0,0
P00487,null,null,3,0,0
P00073,null,null,1,0,0
P01330,null,null,1,0,0
P01478,null,null,2,0,0
P01496,null,null,1,0,0
P01148,null,null,2,0,0
P01213,null,null,1,0,0
P01488,null,null,1,0,0
P01181,null,null,1,0,0
P00375,null,null,1,0,0
P00265,null,null,1,0,0
P01075,Product_1075,pedicure,1,0,0
P00962,null,null,2,0,0
P00499,Product_499,tools,1,0,0
P01218,null,null,1,0,0
P00768,null,null,1,0,0
P01209,null,null,1,0,0
P00124,null,null,2,0,0
P00890,null,null,1,0,0
P01351,null,null,1,0,0
P00627,null,null,1,0,0
P01207,null,null,1,0,0
P00156,null,null,1,0,0
P00965,null,null,1,0,0
P00414,null,null,1,0,0
P01395,null,null,2,0,0
P00996,null,null,1,0,0
P00641,null,null,1,0,0
P00183,null,null,1,0,0
P00682,null,null,1,0,0
P00199,null,null,1,0,0
P00141,Product_141,pedicure,1,0,0
P00369,Product_369,pedicure,1,0,0
P00324,Product_324,manicure,1,0,0
P01259,null,null,1,0,0
P01137,null,null,1,0,0
P01121,null,null,1,0,0
P00976,Product_976,pedicure,2,0,0
P00816,null,null,1,0,0
P00092,null,null,1,0,0
P00938,null,null,1,0,0
P00331,null,null,1,0,0
P01102,Product_1102,manicure,1,0,0
P01481,Product_1481,manicure,2,0,0
P00953,null,null,1,0,0
P01455,Product_1455,tools,2,0,0
P00064,null,null,1,0,0
P01410,null,null,1,0,0
P00732,null,null,1,0,0
P01286,null,null,3,0,0
P00026,null,null,1,0,0
P01266,null,null,1,0,0
P01117,null,null,1,0,0
P00536,Product_536,manicure,1,0,0
P01215,null,null,3,0,0
P00842,null,null,1,0,0
P00759,null,null,1,0,0
P00760,null,null,1,0,0
P00640,null,null,1,0,0
P00465,null,null,2,0,0
P00757,null,null,1,0,0
P00505,null,null,1,0,0
P01103,null,null,1,0,0
P01229,Product_1229,pedicure,2,0,0
P00402,Product_402,tools,1,0,0
P00593,null,null,1,0,0
P01450,Product_1450,tools,1,0,0
P00691,null,null,1,0,0
P00957,null,null,1,0,0
P00290,null,null,2,0,0
P00835,null,null,1,0,0
P00909,null,null,2,0,0
P01118,null,null,1,0,0
P00694,null,null,3,0,0
P01227,null,null,1,0,0
P00676,null,null,1,0,0
P00461,null,null,3,0,0
P01187,null,null,1,0,0
P00246,null,null,1,0,0
P00548,null,null,1,0,0
P00739,null,null,1,0,0
P00032,null,null,1,0,0
P00986,null,null,1,0,0
P00437,null,null,1,0,0
P00658,Product_658,manicure,2,0,0
P00527,null,null,1,0,0
P00139,Product_139,pedicure,2,0,0
P01265,null,null,1,0,0
P01062,null,null,2,0,0
P01202,null,null,1,0,0
P00037,null,null,1,0,0
P00533,null,null,1,0,0
P01249,null,null,1,0,0
P00639,null,null,1,0,0
P01454,null,null,2,0,0
P00961,null,null,2,0,0
P01128,null,null,1,0,0
P01038,Product_1038,manicure,1,0,0
P01206,null,null,1,0,0
P01190,null,null,1,0,0
P00876,null,null,1,0,0
P00881,Product_881,manicure,1,0,0
P00898,Product_898,tools,1,0,0
P00614,null,null,1,0,0
P00353,null,null,1,0,0
P00846,null,null,1,0,0
P01412,null,null,1,0,0
P01407,Product_1407,manicure,2,0,0
P00515,null,null,1,0,0
P00917,null,null,1,0,0
P00360,null,null,1,0,0
P00283,Product_283,manicure,1,0,0
P00812,null,null,2,0,0
P01096,null,null,2,0,0
P01196,Product_1196,manicure,3,0,0
P00518,null,null,1,0,0
P00308,null,null,1,0,0
P00212,null,null,1,0,0
P00154,null,null,2,0,0
P00510,Product_510,pedicure,2,0,0
P01274,null,null,1,0,0
P00417,null,null,1,0,0
P00405,null,null,1,0,0
P01098,null,null,1,0,0
P00462,null,null,3,0,0
P00783,Product_783,tools,1,0,0
P00645,null,null,1,0,0
P00745,null,null,1,0,0
P00785,Product_785,manicure,1,0,0
P00814,null,null,1,0,0
P00865,Product_865,tools,1,0,0
P00319,null,null,1,0,0
P00804,null,null,1,0,0
P00907,Product_907,pedicure,2,0,0
P00940,null,null,1,0,0
P01251,null,null,1,0,0
P00262,null,null,1,0,0
P01487,Product_1487,pedicure,1,0,0
P00472,null,null,2,0,0
P01036,Product_1036,tools,1,0,0
P00470,null,null,1,0,0
P01431,Product_1431,manicure,1,0,0
P00862,null,null,1,0,0
P01356,null,null,1,0,0
P00797,null,null,2,0,0
P00227,Product_227,pedicure,1,0,0
P01093,null,null,1,0,0
P01139,null,null,1,0,0
P01361,null,null,1,0,0
P00130,null,null,2,0,0
P00758,null,null,3,0,0
P00125,Product_125,manicure,2,0,0
P00574,null,null,1,0,0
P00443,null,null,2,0,0
P00066,Product_66,pedicure,1,0,0
P01290,null,null,2,0,0
P01163,null,null,1,0,0
P00772,null,null,1,0,0
P01485,null,null,1,0,0
P00752,null,null,2,0,0
P00711,null,null,2,0,0
P01129,null,null,1,0,0
P00044,Product_44,tools,1,0,0
P01285,null,null,2,0,0
P00677,Product_677,tools,1,0,0
P00367,Product_367,manicure,3,0,0
P00686,Product_686,tools,2,0,0
P00578,null,null,2,0,0
P01315,null,null,1,0,0
P00478,Product_478,manicure,1,0,0
P00143,null,null,1,0,0
P00893,null,null,1,0,0
P00946,null,null,1,0,0
P00503,Product_503,tools,1,0,0
P00864,null,null,1,0,0
P00029,null,null,1,0,0
P00086,null,null,1,0,0
P00749,null,null,2,0,0
P00100,null,null,2,0,0
P00153,Product_153,tools,2,0,0
P00580,Product_580,pedicure,1,0,0
P00981,null,null,1,0,0
P00132,null,null,1,0,0
P00937,null,null,1,0,0
P00144,null,null,1,0,0
P01032,null,null,2,0,0
P00084,null,null,1,0,0
P00896,null,null,1,0,0
P01043,null,null,1,0,0
P00278,null,null,1,0,0
P00868,null,null,1,0,0
P01277,null,null,3,0,0
P00425,Product_425,pedicure,2,0,0
P00652,Product_652,manicure,1,0,0
P00544,null,null,1,0,0
P00789,null,null,1,0,0
P00007,null,null,2,0,0
P01063,null,null,1,0,0
P00661,null,null,3,0,0
P01081,null,null,1,0,0
P01331,null,null,1,0,0
P01284,null,null,1,0,0
P00665,null,null,1,0,0
P01112,null,null,1,0,0
P01360,Product_1360,tools,1,0,0
P01365,Product_1365,manicure,1,0,0
P00900,null,null,1,0,0
P00741,null,null,1,0,0
P01165,null,null,1,0,0
P00490,Product_490,tools,2,0,0
P01080,null,null,1,0,0
P01279,null,null,1,0,0
P00555,null,null,2,0,0
P00209,null,null,1,0,0
P01306,null,null,2,0,0
P00062,null,null,1,0,0
P00859,null,null,1,0,0
P00950,null,null,1,0,0
P00358,null,null,3,0,0
P01261,null,null,1,0,0
P00600,Product_600,pedicure,3,0,0
P00009,null,null,2,0,0
P00860,Product_860,pedicure,2,0,0
P00650,null,null,1,0,0
P01178,null,null,2,0,0
P00619,null,null,1,0,0
P00776,Product_776,pedicure,1,0,0
P01235,Product_1235,manicure,2,0,0
P00266,null,null,1,0,0
P01133,Product_1133,manicure,1,0,0
P00321,null,null,1,0,0
P00708,null,null,1,0,0
P00190,null,null,1,0,0
P00617,null,null,1,0,0
P00655,Product_655,tools,3,0,0
P01293,null,null,1,0,0
P00606,null,null,1,0,0
P00968,Product_968,manicure,1,0,0
P00974,null,null,2,0,0
P01451,null,null,1,0,0
P01149,null,null,3,0,0
P01336,null,null,2,0,0
P01396,null,null,1,0,0
P00059,null,null,1,0,0
P01024,null,null,1,0,0
P00817,Product_817,tools,1,0,0
P00307,null,null,1,0,0
P00673,null,null,1,0,0
P00492,null,null,1,0,0
P01173,null,null,1,0,0
P01049,null,null,3,0,0
P01132,null,null,1,0,0
P00943,Product_943,tools,1,0,0
P01313,null,null,1,0,0
P01085,null,null,1,0,0
P00271,Product_271,manicure,1,0,0
P00546,Product_546,manicure,1,0,0
P01255,Product_1255,tools,1,0,0
P00879,Product_879,manicure,1,0,0
P00175,Product_175,tools,2,0,0
P01291,null,null,1,0,0
P01321,null,null,1,0,0
P00207,null,null,1,0,0
P00904,null,null,2,0,0
P01208,null,null,1,0,0
P00109,null,null,1,0,0
P00743,null,null,3,0,0
P00281,null,null,2,0,0
P01423,null,null,2,0,0
P00570,null,null,1,0,0
P00802,null,null,2,0,0
P01444,null,null,1,0,0
P01465,null,null,1,0,0
P00187,null,null,2,0,0
P01377,null,null,1,0,0
P00317,null,null,1,0,0
P00015,null,null,2,0,0
P00800,Product_800,tools,1,0,0
P00312,null,null,1,0,0
P01448,Product_1448,manicure,1,0,0
P00648,null,null,3,0,0
P01386,null,null,2,0,0
P01479,null,null,1,0,0
P00332,Product_332,tools,1,0,0
P00730,null,null,2,0,0
P00549,null,null,1,0,0
P00681,null,null,2,0,0
P01002,null,null,1,0,0
P00567,Product_567,pedicure,1,0,0
P00371,null,null,1,0,0
P00134,null,null,1,0,0
P00720,null,null,1,0,0
P00301,null,null,1,0,0
P01242,Product_1242,tools,1,0,0
P01415,Product_1415,manicure,1,0,0
P00080,null,null,1,0,0
P00415,null,null,1,0,0
P01088,null,null,1,0,0
P00248,null,null,2,0,0
P00389,null,null,1,0,0
P00935,null,null,2,0,0
P00796,Product_796,tools,1,0,0
P00811,null,null,1,0,0
P00219,Product_219,tools,1,0,0
P01074,Product_1074,pedicure,2,0,0
P01252,null,null,1,0,0
P00256,null,null,1,0,0
P01307,Product_1307,manicure,1,0,0
P00363,null,null,1,0,0
P00733,null,null,2,0,0
P01191,null,null,2,0,0
P00754,Product_754,manicure,1,0,0
P00625,null,null,1,0,0
P00435,null,null,1,0,0
P00238,null,null,1,0,0
P01006,null,null,2,0,0
P00231,null,null,1,0,0
P00524,null,null,1,0,0
P00057,null,null,1,0,0
P00385,null,null,2,0,0
P01188,null,null,1,0,0
P01212,null,null,2,0,0
P00226,Product_226,tools,1,0,0
P00142,null,null,2,0,0
P01171,null,null,2,0,0
P01352,Product_1352,manicure,2,0,0
P00678,Product_678,pedicure,1,0,0
P00152,null,null,1,0,0
P00438,null,null,2,0,0
P01344,null,null,1,0,0
P00699,null,null,1,0,0
P01005,null,null,1,0,0
P00693,null,null,3,0,0
P00420,Product_420,pedicure,2,0,0
P01474,Product_1474,manicure,1,0,0
P00605,null,null,1,0,0
P00513,Product_513,pedicure,2,0,0
P00004,null,null,1,0,0
P01388,Product_1388,manicure,2,0,0
P01071,null,null,1,0,0
P00853,null,null,1,0,0
P00078,null,null,1,0,0
P00684,null,null,2,0,0
P00116,null,null,1,0,0
P00978,null,null,1,0,0
P00429,null,null,2,0,0
P01367,null,null,1,0,0
P00874,Product_874,tools,1,0,0
